"SLAB번호","정정_장입LT","전저장위치코드","발지야드포인트","스카핑여부","품명","롤단위지정구분","월구분","정정_압연작업지시LT","장입온도"
"SQ80815 511",11.5,"3GB","5A",0,"BP",,9,-1.8,233
"SQ64191 051",6,"3GB","5A",1,"PO","F",3,-0.3,219
"SQ65705 011",17.8,"5GG","5A",0,"HGI","F",4,9.1,204
"SQ68553 531",5.2,"5GG","5A",1,"GI",,5,-2.1,244
"SQ77043 551",9.5,"3GB","4C",0,"HR","F",8,2.6,295
"SQ72233 541",12.5,"3GB","4C",0,"HR",,6,4.3,256
"SQ79077 551",16.7,"5GG","4C",0,"GA","B",9,7.3,202
"SQ53018 521",15.3,"5GG","4C",0,"HGI","F",11,3.3,298
"SQ54800 551",15.8,"3GB","5A",0,"HR",,12,4.9,184
"SQ69025 051",13.8,"5GG","5A",0,"HR",,5,2.3,262
"SQ72097 061",4.2,"5GG","5A",1,"HR","B",6,-5,279
"SQ57208 531",15.8,"5GG","4C",0,"GI","D",1,8.6,221
"SQ54819 551",11.9,"3GB","5A",0,"HGI","D",12,0,246
"SQ51364 011",13.9,"5GG","4C",0,"PO","G",10,1.8,2283
"SQ57452 521",3,"3GB","5A",1,"HR",,1,-6.4,278
"SQ73359 551",18.5,"5GG","5A",0,"HR","D",7,5.3,256
"SQ60926 561",13.9,"3GB","5A",0,"HGI","D",2,3.6,290
"SQ53484 011",14.1,"5GG","5A",0,"HR","B",11,0.8,274
"SQ49558 011",18.9,"5GG","5A",0,"HR",,10,7.9,286
"SQ67335 531",5.2,"3GB","4C",1,"CR",,5,2.2,235
"SQ59393 521",3.8,"3GB","5A",1,"HR",,2,0.2,191
"SP01735 551",20,"5GG","7A",0,"FH",,12,13.4,244
"SQ68098 011",4.8,"3GB","4C",1,"CR",,5,-2.4,237
"SQ71423 041",3.8,"3GB","5A",1,"HR","F",6,-6.5,184
"SQ63512 021",17.6,"3GB","4C",0,"HR","B",3,9.8,252
"SQ53240 031",17.6,"5GG","4C",0,"HGI","D",11,9.7,261
"SQ56273 061",14.7,"5GG","5A",0,"HR",,1,2.7,236
"SQ58274 021",11.7,"3GB","5A",0,"HR","D",1,0.3,180
